Rank  Team                               Elo       
---------------------------------------------------
1     OKC                                1800.00
2     SAS                                1727.05
3     DET                                1720.17
4     BOS                                1717.70
5     NYK                                1686.84
6     HOU                                1660.98
7     DEN                                1646.38
8     CHO                                1636.35
9     CLE                                1612.96
10    MIN                                1598.92
11    TOR                                1583.03
12    ATL                                1572.89
13    MIA                                1566.18
14    LAL                                1563.91
15    PHO                                1556.36
16    LAC                                1541.28
17    ORL                                1526.25
18    PHI                                1512.38
19    POR                                1503.87
20    GSW                                1494.95
21    NOP                                1399.31
22    CHI                                1382.77
23    DAL                                1370.36
24    MEM                                1348.74
25    MIL                                1342.36
26    IND                                1311.59
27    UTA                                1294.74
28    SAC                                1264.36
29    BRK                                1246.22
30    WAS                                1200.00
